Location,Latitude,Longitude
Cheapside St & Gammage St,43°00'30.7"N,81°13'53.0"W
Richmond St & Dufferin Ave,42°59'11.7"N,81°15'02.3"W
Richmond St & Angel St,42°59'18.7"N,81°15'02.5"W
Richmond St & Central Ave,42°59'25.5"N,81°15'02.1"W
Richmond St & Hyman St,42°59'29.0"N,81°15'03.8"W
Oxford St E & Talbot St,42°59'39.2"N,81°15'27.1"W
Richmond St & Pall Mall St,42°59'32.7"N,81°15'05.6"W
Central Ave & Colborne St,42°59'32.8"N,81°14'34.1"W
Wellington Rd S & Roxburgh Rd,42°55'06.8"N,81°12'35.0"W
Bradley Ave & Ernest Ave,42°56'03.6"N,81°14'11.2"W
Bradley Ave & Wellington Rd,42°56'04.1"N,81°13'24.7"W
Southdale Rd E & Wellington Rd,42°56'36.7"N,81°13'32.9"W
