id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
54,54.00,C1C2_0,5.10,0.00,0.00,155.00,E3E2_0,85.60,12.81,101.00,469.76,44.00,2,0.00,65.67,0,tripinfo_54 emissions_54 fcd_54,DEFAULT_VEHTYPE,1.00,,11296.375993,320979.476262,58.884829,6.732064,138.744398,102380.477461,0
70,70.00,C2B2_0,5.10,0.00,0.00,155.00,C3C4_0,85.60,13.07,85.00,369.56,34.00,3,0.00,56.67,0,tripinfo_70 emissions_70 fcd_70,DEFAULT_VEHTYPE,1.02,,9919.876034,286121.947801,51.871955,6.082397,124.343984,91262.034750,0
50,50.00,A0A1_0,5.10,0.00,0.00,156.00,D2D1_0,85.60,11.71,106.00,573.76,44.00,1,0.00,56.20,0,tripinfo_50 emissions_50 fcd_50,DEFAULT_VEHTYPE,0.85,,10380.915181,301542.473960,54.304087,5.997839,128.155145,96181.042326,0
91,91.00,E4D4_0,5.10,0.00,0.00,157.00,A2B2_0,85.60,11.25,66.00,685.64,0.00,0,0.00,9.36,0,tripinfo_91 emissions_91 fcd_91,DEFAULT_VEHTYPE,0.89,,2640.446195,178690.837924,16.064699,2.864270,70.981489,56994.445369,0
96,97.00,B1C1_0,5.10,0.00,1.00,160.00,E2E1_0,85.60,13.60,63.00,469.55,6.00,1,0.00,27.17,0,tripinfo_96 emissions_96 fcd_96,DEFAULT_VEHTYPE,1.01,,5419.096294,235931.632840,30.150645,4.673418,100.191986,75251.864496,0
98,98.00,C3C4_0,5.10,0.00,0.00,163.00,A1A2_0,85.60,14.68,65.00,660.03,5.00,1,0.00,21.03,0,tripinfo_98 emissions_98 fcd_98,DEFAULT_VEHTYPE,1.12,,4815.174425,268555.454478,28.033795,5.006848,110.712069,85656.990041,0
85,85.00,E2E3_0,5.10,0.00,0.00,166.00,C3D3_0,85.60,12.48,81.00,370.57,35.00,2,0.00,51.13,0,tripinfo_85 emissions_85 fcd_85,DEFAULT_VEHTYPE,0.98,,9546.812781,270878.709274,49.855563,5.774153,117.849809,86400.104999,0
88,88.00,A2B2_0,5.10,0.00,0.00,166.00,C1B1_0,85.60,13.27,78.00,369.76,33.00,1,0.00,49.18,0,tripinfo_88 emissions_88 fcd_88,DEFAULT_VEHTYPE,1.01,,8957.504460,261681.449193,46.954777,5.523199,113.449596,83466.422932,0
81,84.00,B1B2_0,5.10,0.00,3.00,170.00,E2D2_0,85.60,13.21,86.00,465.40,17.00,3,0.00,50.65,0,tripinfo_81 emissions_81 fcd_81,DEFAULT_VEHTYPE,1.00,,8024.413330,267237.713155,42.731905,5.481768,115.147003,85238.086898,0
82,82.00,E0E1_0,5.10,0.00,0.00,170.00,A2A1_0,85.60,13.26,88.00,684.09,22.00,1,0.00,38.09,0,tripinfo_82 emissions_82 fcd_82,DEFAULT_VEHTYPE,1.02,,7464.107210,291334.183244,40.592127,5.552029,121.476490,92923.634381,0
83,87.00,B1B2_0,5.10,0.00,4.00,170.00,D1D0_0,85.60,13.21,83.00,469.76,13.00,2,0.00,45.47,0,tripinfo_83 emissions_83 fcd_83,DEFAULT_VEHTYPE,0.97,,7217.539478,248840.614722,38.558490,4.821229,104.981107,79370.342449,0
49,49.00,E3E4_0,5.10,0.00,0.00,172.00,E0E1_0,89.60,11.06,123.00,782.77,25.00,2,0.00,52.74,0,tripinfo_49 emissions_49 fcd_49,DEFAULT_VEHTYPE,0.85,,10188.975275,363338.689697,54.879049,6.997087,153.340476,115890.540593,0
68,70.00,A2A1_0,5.10,0.00,2.00,173.00,D3C3_0,85.60,13.71,103.00,655.67,28.00,1,0.00,54.50,0,tripinfo_68 emissions_68 fcd_68,DEFAULT_VEHTYPE,1.04,,9505.744165,339992.640444,51.153079,6.850300,144.770389,108443.735108,0
69,69.00,D3D2_0,5.10,0.00,0.00,173.00,A3B3_0,85.60,13.64,104.00,564.39,39.00,2,0.00,61.84,0,tripinfo_69 emissions_69 fcd_69,DEFAULT_VEHTYPE,1.02,,11075.566517,340320.106583,58.247812,6.983417,145.884492,108549.020441,0
59,59.00,C4D4_0,5.10,0.00,0.00,174.00,A4B4_0,89.60,12.99,115.00,660.57,38.00,2,0.00,62.66,0,tripinfo_59 emissions_59 fcd_59,DEFAULT_VEHTYPE,0.97,,11689.060668,379180.231454,62.028055,7.738314,162.400179,120943.548942,0
24,24.00,D0D1_0,5.10,0.00,0.00,176.00,B4B3_0,85.60,10.86,152.00,665.20,64.00,2,0.00,89.89,0,tripinfo_24 emissions_24 fcd_24,DEFAULT_VEHTYPE,0.83,,15646.536188,415185.355910,80.941050,8.550210,178.701063,132429.477478,0
26,26.00,B2B1_0,5.10,0.00,0.00,177.00,E3D3_0,85.60,11.89,151.00,655.67,65.00,3,0.00,96.31,0,tripinfo_26 emissions_26 fcd_26,DEFAULT_VEHTYPE,0.92,,16829.632286,448200.564895,87.080711,9.472235,194.195618,142959.861456,0
60,60.00,D3D2_0,5.10,0.00,0.00,190.00,C3C2_0,85.60,14.60,130.00,360.03,81.00,3,0.00,102.91,0,tripinfo_60 emissions_60 fcd_60,DEFAULT_VEHTYPE,1.08,,17909.659257,417216.902690,91.318928,9.475601,185.223415,133077.833884,0
67,72.00,A2A3_0,5.10,0.00,5.00,190.00,C2B2_0,85.60,11.81,118.00,464.39,59.00,2,0.00,79.36,0,tripinfo_67 emissions_67 fcd_67,DEFAULT_VEHTYPE,0.91,,13973.551158,362108.688154,72.109639,7.736041,157.680130,115499.776695,0
95,95.00,C0D0_0,5.10,0.00,0.00,190.00,B2B3_0,85.60,13.65,95.00,565.40,39.00,1,0.00,55.13,0,tripinfo_95 emissions_95 fcd_95,DEFAULT_VEHTYPE,1.06,,9918.753517,310925.016647,52.365850,6.402453,132.917865,99173.004667,0
74,82.00,B0C0_0,5.10,0.00,8.00,191.00,B3A3_0,85.60,13.18,109.00,565.20,41.00,1,0.00,63.22,0,tripinfo_74 emissions_74 fcd_74,DEFAULT_VEHTYPE,0.96,,11402.713240,337989.880260,59.738054,7.003302,145.435965,107805.951200,0
92,93.00,C0C1_0,5.10,0.00,1.00,194.00,B3C3_0,85.60,11.54,101.00,469.56,40.00,3,0.00,57.42,0,tripinfo_92 emissions_92 fcd_92,DEFAULT_VEHTYPE,0.83,,10514.075587,292725.006904,54.705236,5.995815,125.836225,93368.650374,0
