id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
22,22.00,A2A3_0,5.10,0.00,0.00,124.00,B1B2_0,85.60,4.29,102.00,460.03,38.00,2,0.00,65.32,0,tripinfo_22 emissions_22 fcd_22,DEFAULT_VEHTYPE,0.97,,11167.836847,320917.134679,58.340384,6.791253,139.430013,102360.424658,0
72,72.00,C0D0_0,5.10,0.00,0.00,127.00,B1A1_0,85.60,12.66,55.00,465.20,2.00,1,0.00,16.65,0,tripinfo_72 emissions_72 fcd_72,DEFAULT_VEHTYPE,0.94,,3357.998174,178877.443924,19.368131,3.180686,73.271755,57054.036165,0
14,14.00,E0D0_0,5.10,0.00,0.00,128.00,C4D4_0,85.60,12.67,114.00,673.76,44.00,2,0.00,63.49,0,tripinfo_14 emissions_14 fcd_14,DEFAULT_VEHTYPE,0.99,,11568.822814,357147.790577,60.943427,7.302003,152.725819,113916.425681,0
33,41.00,B1B2_0,5.10,0.00,8.00,128.00,A1A0_0,89.60,15.05,87.00,369.19,42.00,2,0.00,61.57,0,tripinfo_33 emissions_33 fcd_33,DEFAULT_VEHTYPE,1.17,,10988.226661,303486.680082,57.201478,6.575136,132.652534,96800.890352,0
36,36.00,E1E0_0,5.10,0.00,0.00,129.00,B3B2_0,85.60,12.69,93.00,761.58,5.00,2,0.00,34.53,0,tripinfo_36 emissions_36 fcd_36,DEFAULT_VEHTYPE,0.97,,6246.952562,298198.851789,35.374179,5.618315,124.451961,95112.358759,0
89,90.00,C0D0_0,5.10,0.00,1.00,129.00,C1D1_0,85.60,13.32,39.00,360.03,0.00,0,0.00,11.33,0,tripinfo_89 emissions_89 fcd_89,DEFAULT_VEHTYPE,1.02,,2770.284386,156923.734694,16.321194,2.975724,65.867045,50051.427312,0
64,64.00,E1E0_0,5.10,0.00,0.00,130.00,D4E4_0,89.60,12.33,66.00,669.94,0.00,0,0.00,11.68,0,tripinfo_64 emissions_64 fcd_64,DEFAULT_VEHTYPE,0.94,,3296.892317,217535.572288,19.935600,3.624322,87.288534,69384.073663,0
55,59.00,E1E0_0,5.10,0.00,4.00,131.00,B2A2_0,85.60,13.28,72.00,671.11,4.00,1,0.00,22.05,0,tripinfo_55 emissions_55 fcd_55,DEFAULT_VEHTYPE,1.00,,4155.123016,233036.177489,24.230798,4.228753,95.840337,74328.059520,0
47,48.00,A1B1_0,5.10,0.00,1.00,132.00,B4C4_0,85.60,12.31,84.00,474.92,26.00,2,0.00,43.84,0,tripinfo_47 emissions_47 fcd_47,DEFAULT_VEHTYPE,0.90,,8321.762956,256281.941233,43.883931,5.149056,109.453389,81744.190389,0
77,78.00,A3A4_0,5.10,0.00,1.00,132.00,B1B0_0,85.60,13.54,54.00,571.31,0.00,0,0.00,10.38,0,tripinfo_77 emissions_77 fcd_77,DEFAULT_VEHTYPE,0.98,,2570.165784,178272.239175,15.716701,2.907079,70.845393,56860.835686,0
