time,id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
7.00,1,HBEFA3/PC_G_EU4,7659.68,116.15,0.71,3.26,0.15,2443.06,0.00,69.09,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,49.66,12.05,180.00,98.40,143.14
7.00,2,HBEFA3/PC_G_EU4,8332.35,142.85,0.85,3.62,0.17,2657.61,0.00,70.47,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,36.57,10.49,90.00,343.77,198.40
7.00,3,HBEFA3/PC_G_EU4,7358.00,134.44,0.79,3.19,0.15,2346.85,0.00,69.50,!3,DEFAULT_VEHTYPE,0.00,E1E2_0,29.06,9.25,0.00,401.60,136.26
7.00,4,HBEFA3/PC_G_EU4,5637.35,133.19,0.74,2.46,0.12,1798.06,0.00,68.05,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,16.77,6.21,90.00,223.97,-1.60
7.00,5,HBEFA3/PC_G_EU4,4013.73,135.81,0.71,1.76,0.08,1280.23,0.00,65.66,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,10.32,3.56,180.00,98.40,82.48
7.00,6,HBEFA3/PC_G_EU4,3329.71,147.54,0.75,1.49,0.07,1062.07,0.00,64.93,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,6.98,1.88,180.00,-1.60,85.82
7.00,7,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,5.10,0.00,270.00,287.70,101.60
8.00,0,HBEFA3/PC_G_EU4,6536.64,75.96,0.50,2.67,0.12,2084.87,0.00,68.12,!0,DEFAULT_VEHTYPE,0.00,D0E0_0,75.51,14.66,90.00,382.71,-1.60
8.00,1,HBEFA3/PC_G_EU4,3464.24,26.92,0.20,1.27,0.04,1104.94,0.00,64.58,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,62.09,12.43,180.00,98.40,130.71
8.00,2,HBEFA3/PC_G_EU4,7412.24,110.37,0.68,3.14,0.15,2364.14,0.00,68.77,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,48.71,12.14,90.00,355.91,198.40
8.00,3,HBEFA3/PC_G_EU4,9486.15,156.76,0.94,4.13,0.20,3025.61,0.00,71.60,!3,DEFAULT_VEHTYPE,0.00,E1E2_0,40.72,11.66,0.00,401.60,147.92
8.00,4,HBEFA3/PC_G_EU4,7548.88,144.71,0.84,3.30,0.16,2407.73,0.00,70.25,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,25.41,8.63,90.00,232.61,-1.60
8.00,5,HBEFA3/PC_G_EU4,4766.19,125.48,0.68,2.07,0.10,1520.21,0.00,66.31,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,15.73,5.41,180.00,98.40,77.07
8.00,6,HBEFA3/PC_G_EU4,4177.16,135.30,0.71,1.83,0.09,1332.35,0.00,66.00,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,10.80,3.82,180.00,-1.60,82.00
8.00,7,HBEFA3/PC_G_EU4,3655.34,148.89,0.76,1.63,0.08,1165.92,0.00,66.54,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,7.32,2.22,270.00,285.48,101.60
8.00,8,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,5.10,0.00,180.00,98.40,87.70
9.00,0,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.99,!0,DEFAULT_VEHTYPE,0.00,D0E0_0,86.22,10.71,90.00,393.42,-1.60
9.00,1,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.24,!1,DEFAULT_VEHTYPE,0.00,B2B1_0,73.34,11.25,180.00,98.40,119.46
9.00,2,HBEFA3/PC_G_EU4,6981.40,92.20,0.59,2.91,0.13,2226.73,0.00,68.32,!2,DEFAULT_VEHTYPE,0.00,D2E2_0,62.18,13.47,90.00,369.38,198.40
