time,id,x,y,angle,type,speed,pos,lane,slope
10.00,5,98.40,61.41,180.00,DEFAULT_VEHTYPE,8.78,31.39,B1B0_0,0.00
10.00,6,-1.60,67.71,180.00,DEFAULT_VEHTYPE,8.04,25.09,A1A0_0,0.00
10.00,7,273.68,101.60,270.00,DEFAULT_VEHTYPE,7.07,19.12,D1C1_0,0.00
10.00,8,98.40,80.14,180.00,DEFAULT_VEHTYPE,5.08,12.66,B1B0_0,0.00
10.00,9,286.12,401.60,270.00,DEFAULT_VEHTYPE,1.58,6.68,D4C4_0,0.00
11.00,0,401.60,3.68,21.75,DEFAULT_VEHTYPE,5.39,0.48,E0E1_0,0.00
11.00,1,98.40,97.51,180.00,DEFAULT_VEHTYPE,10.09,9.69,:B1_1_0,0.00
11.00,11,112.30,298.40,90.00,DEFAULT_VEHTYPE,0.00,5.10,B3C3_0,0.00
11.00,2,387.84,198.40,90.00,DEFAULT_VEHTYPE,7.28,80.64,D2E2_0,0.00
11.00,3,401.60,187.44,0.00,DEFAULT_VEHTYPE,11.06,80.24,E1E2_0,0.00
11.00,4,269.55,-1.60,90.00,DEFAULT_VEHTYPE,13.19,62.35,C0D0_0,0.00
11.00,5,98.40,50.11,180.00,DEFAULT_VEHTYPE,11.29,42.69,B1B0_0,0.00
11.00,6,-1.60,57.87,180.00,DEFAULT_VEHTYPE,9.85,34.93,A1A0_0,0.00
11.00,7,264.33,101.60,270.00,DEFAULT_VEHTYPE,9.36,28.47,D1C1_0,0.00
11.00,8,98.40,73.44,180.00,DEFAULT_VEHTYPE,6.70,19.36,B1B0_0,0.00
11.00,9,282.16,401.60,270.00,DEFAULT_VEHTYPE,3.96,10.64,D4C4_0,0.00
12.00,0,401.60,10.99,0.00,DEFAULT_VEHTYPE,7.31,7.79,E0E1_0,0.00
12.00,1,98.40,87.52,180.00,DEFAULT_VEHTYPE,9.99,5.28,B1B0_0,0.00
12.00,10,287.70,401.60,270.00,DEFAULT_VEHTYPE,0.00,5.10,D4C4_0,0.00
12.00,11,114.55,298.40,90.00,DEFAULT_VEHTYPE,2.25,7.35,B3C3_0,0.00
12.00,12,398.40,287.70,180.00,DEFAULT_VEHTYPE,0.00,5.10,E3E2_0,0.00
12.00,2,392.17,198.40,90.00,DEFAULT_VEHTYPE,4.33,84.97,D2E2_0,0.00
12.00,3,401.43,193.98,358.06,DEFAULT_VEHTYPE,6.56,1.20,:E2_4_0,0.00
12.00,4,281.00,-1.60,90.00,DEFAULT_VEHTYPE,11.45,73.80,C0D0_0,0.00
12.00,5,98.40,39.01,180.00,DEFAULT_VEHTYPE,11.11,53.79,B1B0_0,0.00
12.00,6,-1.60,46.12,180.00,DEFAULT_VEHTYPE,11.74,46.68,A1A0_0,0.00
12.00,7,252.64,101.60,270.00,DEFAULT_VEHTYPE,11.69,40.16,D1C1_0,0.00
12.00,8,98.40,64.80,180.00,DEFAULT_VEHTYPE,8.64,28.00,B1B0_0,0.00
12.00,9,276.60,401.60,270.00,DEFAULT_VEHTYPE,5.57,16.20,D4C4_0,0.00
13.00,0,401.60,20.03,0.00,DEFAULT_VEHTYPE,9.04,16.83,E0E1_0,0.00
13.00,1,98.40,77.62,180.00,DEFAULT_VEHTYPE,9.90,15.18,B1B0_0,0.00
13.00,10,285.49,401.60,270.00,DEFAULT_VEHTYPE,2.21,7.31,D4C4_0,0.00
13.00,11,119.27,298.40,90.00,DEFAULT_VEHTYPE,4.72,12.07,B3C3_0,0.00
13.00,12,398.40,285.71,180.00,DEFAULT_VEHTYPE,1.99,7.09,E3E2_0,0.00
13.00,13,12.30,198.40,90.00,DEFAULT_VEHTYPE,0.00,5.10,A2B2_0,0.00
13.00,2,397.17,196.72,110.41,DEFAULT_VEHTYPE,5.47,4.85,:E2_6_0,0.00
